958;0;577326783;1968
967;1;6709852;1987
932;2;121470346;2011
432;3;179282181;1975
282;4;365021480;1981
325;5;366083829;1996
912;6;545195692;2007
644;7;739895076;1970
693;8;156082075;2007
93;9;876078857;1990
702;10;702897654;2006
443;11;617493129;1973
342;12;541448825;2017
948;13;481455200;2011
321;14;568985554;1992
790;15;265700320;1984
406;16;29118953;2002
771;17;322331141;2008
692;18;620773364;2017
970;19;200152695;1989
921;20;636850910;1973
27;21;649348619;2000
108;22;269216769;1995
357;23;693896161;1980
451;24;636850910;1983
584;25;77796856;1977
94;26;636850910;1980
870;27;403862775;1976
292;28;91108922;2006
172;29;441146492;2003
176;30;210833642;1981
74;31;819413479;1997
447;32;309765596;1990
23;33;599883097;1998
618;34;719092206;2013
215;35;763600545;1993
944;36;612098251;1979
920;37;148872615;1971
585;38;692403048;1988
730;39;506516361;2014
238;40;229213434;1989
523;41;479474603;1986
481;42;417225729;2014
456;43;818428895;1973
688;44;754900715;1971
189;45;459870869;1979
749;46;122397473;2005
548;47;818327950;1969
235;48;510027649;1983
419;49;731577016;1991
338;50;916377776;1996
133;51;844280581;2004
430;52;913392538;2000
100;53;414511408;2007
54;54;105174224;1991
254;55;130341130;1972
447;56;5457481;1993
461;57;616409327;1974
285;58;57053095;1989
784;59;770493265;2002
273;60;190562770;1969
485;61;398113801;1976
226;62;252696402;1981
524;63;806560108;2003
697;64;501092492;1968
349;65;451792726;2000
654;66;636850910;2017
83;67;305704244;1985
625;68;88860234;2015
518;69;213630873;1991
129;70;986994246;2000
174;71;517328535;1992
969;72;720030279;1991
689;73;684360396;1987
915;74;330729233;2014
778;75;640741440;2012
898;76;2799028;1973
142;77;575193633;1979
281;78;276823124;2001
767;79;927409192;1973
141;80;572312241;2000
514;81;103565070;2000
305;82;649390861;2016
592;83;95314119;1995
60;84;65668539;2004
764;85;891642667;1998
247;86;471364944;2016
687;87;861175539;1984
37;88;274253628;1977
721;89;314425537;1977
560;90;79404956;2001
48;91;352548652;2010
120;92;309032910;1968
529;93;405460615;1986
798;94;769064550;1995
349;95;541404355;1995
580;96;202442069;1996
559;97;948736258;2005
662;98;705469777;1983
488;99;682935417;1984
709;100;724232481;1993
23;101;254440486;1976
501;102;358449987;2007
631;103;62198219;1995
482;104;636850910;2013
729;105;188205507;1999
549;106;426191676;2013
65;107;402903298;1980
29;108;923633220;1998
774;109;973056176;2007
876;110;504688866;1977
414;111;487421718;1997
459;112;184395764;1985
921;113;386133112;1988
931;114;394604804;1986
222;115;909728742;2010
446;116;957964425;1990
507;117;837314967;2017
906;118;723833223;2004
699;119;963624897;2006
129;120;269571397;2016
475;121;336037174;2002
969;122;22432919;1993
622;123;510225295;2011
137;124;390242322;2014
595;125;680585812;1968
691;126;945661007;1998
